,IPSA
2023-06-13,1063.1449358471232
2023-06-14,1063.8081241484022
2023-06-15,1068.7621856244555
2023-06-16,1068.5969567403915
2023-06-19,1073.15035838651
2023-06-20,1079.844592302024
2023-06-22,1076.1845803199037
2023-06-23,1059.6709080786477
2023-06-27,1057.111188983243
2023-06-28,1054.0938011911587
2023-06-29,1067.748427324296
2023-06-30,1078.64351724956
2023-07-03,1095.0742214454913
2023-07-04,1102.6525273805507
2023-07-05,1091.4764507270086
2023-07-06,1081.0701481070046
2023-07-07,1111.0704938207887
2023-07-10,1113.7146033311133
2023-07-11,1121.8717740930413
2023-07-12,1137.4327795809347
2023-07-13,1133.0171534019464
2023-07-14,1145.3816412158662
2023-07-17,1157.08837088468
2023-07-18,1175.5029004404141
2023-07-19,1183.0436997794718
2023-07-20,1181.665056120186
2023-07-21,1173.9587047768032
2023-07-24,1179.0929805870958
2023-07-25,1192.7572108730744
2023-07-26,1185.7623872983268
2023-07-27,1173.2728777927605
2023-07-28,1180.0606481798673
2023-07-31,1188.7956602922677
2023-08-01,1197.2778945806265
2023-08-02,1178.1630312031411
2023-08-03,1166.7108796169632
2023-08-04,1169.6085660056722
2023-08-07,1175.044551035952
2023-08-08,1162.079696175005
2023-08-09,1178.8281021026694
2023-08-10,1169.1406597526818
2023-08-11,1162.4777988046676
2023-08-14,1154.0305424951227
2023-08-16,1154.0428161634088
2023-08-17,1139.6477480583962
2023-08-18,1138.5858589334166
2023-08-21,1136.5328384396132
2023-08-22,1143.723266227064
2023-08-23,1151.1174421251967
2023-08-24,1126.1634283796
2023-08-25,1120.6936773144946
2023-08-28,1117.572222172934
2023-08-29,1122.9614518379115
2023-08-30,1116.3388684329325
2023-08-31,1112.9040915086034
2023-09-01,1111.5758408084307
2023-09-04,1108.965647003951
2023-09-05,1098.8607393034492
2023-09-06,1094.2428748001578
2023-09-07,1089.8243368784724
2023-09-08,1086.2560365715563
2023-09-11,1086.8604943528048
2023-09-12,1087.1370324160573
2023-09-13,1093.8092427818722
2023-09-14,1109.6337582341728
2023-09-15,1111.3148266289697
2023-09-20,1097.1648676289929
2023-09-21,1085.171369070332
2023-09-22,1078.3707457906155
2023-09-25,1069.6775631683654
2023-09-26,1066.2775286169078
2023-09-27,1066.3446806222044
2023-09-28,1080.631699452823
2023-09-29,1082.8220914836743
2023-10-02,1067.406291772959
2023-10-03,1054.8235044734702
2023-10-04,1057.8305376650737
2023-10-05,1045.225190930137
2023-10-06,1053.1824964056639
2023-10-10,1075.9245020952173
2023-10-11,1075.5266767662267
2023-10-12,1079.8145117791698
2023-10-13,1075.393960561192
2023-10-16,1090.369001920757
2023-10-17,1096.9043069838565
2023-10-18,1077.495553695978
2023-10-19,1062.4817147599522
2023-10-20,1049.2855094298463
2023-10-23,1024.5615314280851
2023-10-24,1031.7915892787948
2023-10-25,1025.6821701724216
2023-10-26,1034.7733739143816
2023-10-30,1005.7408685184998
2023-10-31,1000.1210390328341
2023-11-02,1010.8647665858848
2023-11-03,1041.30525483659
2023-11-06,1031.3859961844646
2023-11-07,1043.9877388510804
2023-11-08,1042.4379549757527
2023-11-09,1039.0527695120893
2023-11-10,1034.794872181644
2023-11-13,1057.3088804560953
2023-11-14,1056.260431322054
2023-11-15,1067.1594727398412
2023-11-16,1058.474230198565
2023-11-17,1066.053293815479
2023-11-20,1079.887173898905
2023-11-21,1067.6302806159035
2023-11-22,1068.964859402631
2023-11-23,1069.2989396285234
2023-11-24,1062.5977967700876
2023-11-27,1059.0767382269744
2023-11-28,1063.3898715930588
2023-11-29,1066.815107916745
2023-11-30,1072.605791157747
2023-12-01,1086.8170349972283
2023-12-04,1074.0079477469305
2023-12-05,1089.7081428561453
2023-12-06,1093.9372392230707
2023-12-07,1104.7441064218847
2023-12-11,1083.4698473250498
2023-12-12,1086.7302455189342
2023-12-13,1107.4227629725572
2023-12-14,1133.332422678739
2023-12-15,1130.4121899459908
2023-12-18,1114.641445630597
2023-12-19,1118.040186610627
2023-12-20,1118.5086745783801
2023-12-21,1126.4604631930854
2023-12-22,1131.8919415721905
2023-12-26,1143.9762705205706
2023-12-27,1139.763230468158
2023-12-28,1147.9494819173449
2023-12-29,1136.7289140535481
2024-01-02,1139.6308969489428
2024-01-03,1127.81980332448
2024-01-04,1116.5246409313065
2024-01-05,1108.8936784801983
2024-01-08,1110.0789479825557
2024-01-09,1118.5717261632649
2024-01-10,1109.939402740321
2024-01-11,1106.682583359351
2024-01-12,1094.3248901846396
2024-01-15,1098.5975808888525
2024-01-16,1092.16164566016
2024-01-17,1078.8357008810544
2024-01-18,1069.7319818218753
2024-01-19,1063.4875891388338
2024-01-22,1074.4156427222574
2024-01-23,1084.8833091477838
2024-01-24,1101.0278012691467
2024-01-25,1086.0010585945279
2024-01-26,1099.5832958605185
2024-01-29,1102.1553982351304
2024-01-30,1083.5270373420603
2024-01-31,1085.7000830542715
2024-02-01,1099.2340441528545
2024-02-02,1088.8165299681639
2024-02-05,1092.6997083939636
2024-02-06,1091.9680253120252
2024-02-07,1093.6837203789705
2024-02-08,1091.9657719559002
2024-02-09,1096.2460631070176
2024-02-12,1107.9898071499192
2024-02-13,1093.230046719213
2024-02-14,1101.6116565176228
2024-02-15,1122.4173182418067
2024-02-16,1151.373471793402
2024-02-19,1158.955286901168
2024-02-20,1152.8830338541286
2024-02-21,1134.7380349252921
2024-02-22,1132.4064282102033
2024-02-23,1125.557249131835
2024-02-26,1128.5690576556497
2024-02-27,1148.3456745814315
2024-02-28,1154.7096084493896
2024-02-29,1173.3829529803634
2024-03-01,1180.6008176881471
2024-03-04,1156.3216883169803
2024-03-05,1140.4535878736954
2024-03-06,1155.5799483052765
2024-03-07,1159.7757565755549
2024-03-08,1156.9546988020265
2024-03-11,1172.5060218456572
2024-03-12,1189.556518872589
2024-03-13,1185.4555791408334
2024-03-14,1179.4079066426614
2024-03-15,1181.5887001725557
2024-03-18,1179.2276251856183
2024-03-19,1172.2467565651614
2024-03-20,1188.1324135615089
2024-03-21,1184.8430673109508
2024-03-22,1188.3366020735198
2024-03-25,1173.1937185634072
2024-03-26,1177.3367085912957
2024-03-27,1188.833341005403
2024-03-28,1198.1548116979416
2024-04-01,1194.26264331702
2024-04-02,1194.6767867269125
2024-04-03,1190.1419721204793
2024-04-04,1182.5980568004843
2024-04-05,1170.3049765998678
2024-04-08,1186.9095155869252
2024-04-09,1199.4653596499347
2024-04-10,1201.0057352472904
2024-04-11,1208.0624114573918
2024-04-12,1179.2817547840828
2024-04-15,1166.3826645192821
2024-04-16,1158.8176651557126
2024-04-17,1164.6301585163135
2024-04-18,1160.6958684710212
2024-04-19,1141.7766136422854
2024-04-22,1142.987053302659
2024-04-23,1159.8005083549017
2024-04-24,1139.8968436929526
2024-04-25,1128.621804089468
2024-04-26,1143.1444338427948
2024-04-29,1170.3433943251591
2024-04-30,1160.8478657063074
2024-05-02,1158.4264851063615
2024-05-03,1167.8146042065164
2024-05-06,1156.5149884967234
2024-05-07,1178.1269653197546
2024-05-08,1186.8274612020707
2024-05-09,1185.0233838476745
2024-05-10,1189.321629090122
2024-05-13,1195.5462671755222
2024-05-14,1201.669619765705
2024-05-15,1200.6737166079424
2024-05-16,1191.471111274983
2024-05-17,1189.7648515078827
2024-05-20,1185.550222024323
2024-05-22,1192.067824755675
2024-05-23,1201.8382558416229
2024-05-24,1196.953786355122
2024-05-27,1202.1975077050859
2024-05-28,1194.6305960491482
2024-05-29,1184.9503118647149
2024-05-30,1175.4876046690413
2024-05-31,1177.30241480905
2024-06-03,1174.2876347146064
2024-06-04,1172.7648167105324
2024-06-05,1180.9042255827942
2024-06-06,1187.0040317297132
2024-06-07,1177.4447471775861
2024-06-10,1174.5995251297663
2024-06-11,1161.2166748179477
2024-06-12,1158.3081562444106
2024-06-13,1151.0576157812263
2024-06-14,1158.0040067922314
2024-06-17,1156.9907517893835
2024-06-18,1164.7729042812255
2024-06-19,1171.4647667323277
2024-06-21,1154.487806724622
2024-06-24,1153.9335542396316
2024-06-25,1139.803708871895
2024-06-26,1156.6917689774598
2024-06-27,1155.1406073834692
2024-06-28,1138.2234222193213
2024-07-01,1134.1375210128112
2024-07-02,1133.4320598578227
2024-07-03,1161.2333540129396
2024-07-04,1163.6465602901585
2024-07-05,1154.895979406847
2024-07-08,1160.5312072258444
2024-07-09,1151.7250954886547
2024-07-10,1150.718387939976
2024-07-11,1164.6501029682765
2024-07-12,1166.0015163124156
2024-07-15,1169.2701889978246
2024-07-17,1168.8990970751297
2024-07-18,1168.5261725825537
2024-07-19,1164.2002301870161
2024-07-22,1171.888582019948
2024-07-23,1164.609572160938
2024-07-24,1159.0084355605636
2024-07-25,1150.7278909919287
2024-07-26,1149.9208101912761
2024-07-29,1159.7555704137742
2024-07-30,1156.4856947942283
2024-07-31,1152.469118472284
2024-08-01,1149.5843834073114
2024-08-02,1132.2667478035032
2024-08-05,1092.316970434532
2024-08-06,1105.6823936552173
2024-08-07,1106.8839739718826
2024-08-08,1124.752808999155
2024-08-09,1128.1488228012915
2024-08-12,1130.469386843458
2024-08-13,1137.244302109185
2024-08-14,1144.4854046296175
2024-08-16,1153.654528523259
2024-08-19,1154.9824462254267
2024-08-20,1161.5003672369069
2024-08-21,1161.534010583674
2024-08-22,1158.9814839471383
2024-08-23,1153.1449940644895
2024-08-26,1148.8255578222095
2024-08-27,1137.3570743132784
2024-08-28,1137.6834131655983
2024-08-29,1149.8726106959268
2024-08-30,1151.212940878141
2024-09-02,1149.687375574079
2024-09-03,1137.9478557484183
2024-09-04,1139.6739922300146
2024-09-05,1134.89859182738
2024-09-06,1116.4123680918744
2024-09-09,1113.791982210489
2024-09-10,1109.3372704408287
2024-09-11,1122.4702594646826
2024-09-12,1129.473843511131
2024-09-13,1130.4759865867225
2024-09-16,1126.7258370650088
2024-09-17,1125.3198419075115
2024-09-23,1134.8008936001813
2024-09-24,1148.0829712612094
2024-09-25,1148.3061430958007
2024-09-26,1165.6258089303428
2024-09-27,1168.2845465084365
2024-09-30,1159.4371144137056
2024-10-01,1148.8276717986498
2024-10-02,1142.16601727235
2024-10-03,1144.2676202677214
2024-10-04,1157.5176242328623
2024-10-07,1157.0349019792898
2024-10-08,1160.407366062977
2024-10-09,1169.8889773843825
2024-10-10,1173.7464395651225
2024-10-11,1172.3056890421615
2024-10-14,1172.3056890421615
2024-10-15,1172.3056890421615
2024-10-16,1172.3056890421615
2024-10-17,1174.5774470437345
2024-10-18,1186.2214202022037
2024-10-21,1189.6490584260018
